run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
2,nmslib_hnsw,100,500000,100,32,23.43998384475708,325.125,10,10,6.887554883956909,0.642916
3,nmslib_hnsw,100,500000,100,32,23.402690410614014,321.75,10,10,6.939954996109009,0.642162
1,nmslib_hnsw,100,500000,150,8,6.886320114135742,230.0625,10,10,2.024549722671509,0.206032
2,nmslib_hnsw,100,500000,150,8,6.984497547149658,230.625,10,10,2.0283021926879883,0.20642
3,nmslib_hnsw,100,500000,150,8,6.86557149887085,231.1875,10,10,2.0482659339904785,0.207316
1,nmslib_hnsw,100,500000,150,12,10.584282636642456,245.25,10,10,2.9406497478485107,0.339908
2,nmslib_hnsw,100,500000,150,12,10.570562839508057,245.25,10,10,3.23351788520813,0.339762
3,nmslib_hnsw,100,500000,150,12,10.53589153289795,246.375,10,10,3.067653179168701,0.338986
1,nmslib_hnsw,100,500000,150,16,14.272262811660767,261.5625,10,10,3.971992015838623,0.452188
2,nmslib_hnsw,100,500000,150,16,14.313450574874878,261.0,10,10,4.1129209995269775,0.45136
3,nmslib_hnsw,100,500000,150,16,14.436206817626953,260.4375,10,10,3.744394540786743,0.451686
1,nmslib_hnsw,100,500000,150,32,31.820130825042725,324.0,10,10,6.56246018409729,0.707204
2,nmslib_hnsw,100,500000,150,32,32.027470111846924,322.875,10,10,7.0645763874053955,0.707998
3,nmslib_hnsw,100,500000,150,32,32.069283962249756,322.875,10,10,7.048650741577148,0.70744
1,nmslib_hnsw,100,500000,300,8,12.777479410171509,229.5,10,10,2.07069993019104,0.2538
2,nmslib_hnsw,100,500000,300,8,12.900008201599121,230.0625,10,10,2.2156732082366943,0.2541
3,nmslib_hnsw,100,500000,300,8,12.825459718704224,230.625,10,10,2.2184457778930664,0.25445
1,nmslib_hnsw,100,500000,300,12,18.902100324630737,245.8125,10,10,3.1059930324554443,0.413546
2,nmslib_hnsw,100,500000,300,12,18.934645652770996,245.25,10,10,3.2412407398223877,0.413688
3,nmslib_hnsw,100,500000,300,12,19.14055824279785,245.25,10,10,3.129894971847534,0.413742
1,nmslib_hnsw,100,500000,300,16,25.361013174057007,261.0,10,10,3.7600460052490234,0.53931
2,nmslib_hnsw,100,500000,300,16,25.475861310958862,260.4375,10,10,3.828549385070801,0.539278
3,nmslib_hnsw,100,500000,300,16,25.335176706314087,261.5625,10,10,4.04347562789917,0.538742
1,nmslib_hnsw,100,500000,300,32,54.110867977142334,321.75,10,10,7.456084728240967,0.794544
2,nmslib_hnsw,100,500000,300,32,54.25965666770935,323.4375,10,10,6.458823204040527,0.795162
3,nmslib_hnsw,100,500000,300,32,54.302186727523804,322.3125,10,10,6.545705556869507,0.795298
1,nmslib_hnsw,200,10000,50,8,0.0557551383972168,1.125,10,10,0.025126218795776367,0.6438
2,nmslib_hnsw,200,10000,50,8,0.05914449691772461,1.125,10,10,0.024762868881225586,0.6258
3,nmslib_hnsw,200,10000,50,8,0.06338381767272949,-0.56640625,10,10,0.02461099624633789,0.6394
1,nmslib_hnsw,200,10000,50,12,0.08694338798522949,-0.56640625,10,10,0.029361486434936523,0.7679
2,nmslib_hnsw,200,10000,50,12,0.08491253852844238,0.5625,10,10,0.03192758560180664,0.765
3,nmslib_hnsw,200,10000,50,12,0.08055615425109863,-0.00390625,10,10,0.031029939651489258,0.7691
1,nmslib_hnsw,200,10000,50,16,0.0998239517211914,-0.56640625,10,10,0.03636598587036133,0.8366
2,nmslib_hnsw,200,10000,50,16,0.09835433959960938,-0.56640625,10,10,0.03524661064147949,0.855
3,nmslib_hnsw,200,10000,50,16,0.10123753547668457,-0.56640625,10,10,0.04059123992919922,0.8323
1,nmslib_hnsw,200,10000,50,32,0.14464783668518066,-0.00390625,10,10,0.05877876281738281,0.9341
2,nmslib_hnsw,200,10000,50,32,0.15237951278686523,-0.56640625,10,10,0.050019264221191406,0.9339
3,nmslib_hnsw,200,10000,50,32,0.1381983757019043,-0.56640625,10,10,0.052878618240356445,0.9312
1,nmslib_hnsw,200,10000,100,8,0.07369303703308105,-0.00390625,10,10,0.024222135543823242,0.6888
2,nmslib_hnsw,200,10000,100,8,0.07659292221069336,0.55859375,10,10,0.024542808532714844,0.6919
3,nmslib_hnsw,200,10000,100,8,0.07643246650695801,0.55859375,10,10,0.024225234985351562,0.6776
1,nmslib_hnsw,200,10000,100,12,0.0971078872680664,-0.56640625,10,10,0.032123565673828125,0.8265
2,nmslib_hnsw,200,10000,100,12,0.11576175689697266,0.5625,10,10,0.030811071395874023,0.8222
3,nmslib_hnsw,200,10000,100,12,0.10514068603515625,-0.5625,10,10,0.029472827911376953,0.84
1,nmslib_hnsw,200,10000,100,16,0.1204221248626709,-0.00390625,10,10,0.03737783432006836,0.9034
2,nmslib_hnsw,200,10000,100,16,0.12166714668273926,1.125,10,10,0.03805041313171387,0.8959
3,nmslib_hnsw,200,10000,100,16,0.18301868438720703,0.5625,10,10,0.03846096992492676,0.8925
1,nmslib_hnsw,200,10000,100,32,0.17464017868041992,-0.5625,10,10,0.05587315559387207,0.9657
2,nmslib_hnsw,200,10000,100,32,0.18087553977966309,-0.56640625,10,10,0.0538945198059082,0.9657
3,nmslib_hnsw,200,10000,100,32,0.17551755905151367,-0.00390625,10,10,0.05379223823547363,0.9687
1,nmslib_hnsw,200,10000,150,8,0.08040475845336914,-0.56640625,10,10,0.025143861770629883,0.7287
2,nmslib_hnsw,200,10000,150,8,0.08333873748779297,0.5625,10,10,0.027182340621948242,0.7333
3,nmslib_hnsw,200,10000,150,8,0.08274388313293457,-0.5625,10,10,0.0240476131439209,0.7115
1,nmslib_hnsw,200,10000,150,12,0.11393213272094727,0.5625,10,10,0.03164100646972656,0.8521
2,nmslib_hnsw,200,10000,150,12,0.1144256591796875,-0.5625,10,10,0.03304600715637207,0.8552
3,nmslib_hnsw,200,10000,150,12,0.11737513542175293,1.12109375,10,10,0.0314943790435791,0.8465
1,nmslib_hnsw,200,10000,150,16,0.1425635814666748,0.55859375,10,10,0.03899264335632324,0.9162
2,nmslib_hnsw,200,10000,150,16,0.1453995704650879,0.0,10,10,0.039621829986572266,0.9125
3,nmslib_hnsw,200,10000,150,16,0.1628413200378418,0.0,10,10,0.03804421424865723,0.9005
1,nmslib_hnsw,200,10000,150,32,0.2518000602722168,0.5625,10,10,0.05626726150512695,0.9756
2,nmslib_hnsw,200,10000,150,32,0.2613716125488281,-0.00390625,10,10,0.056937217712402344,0.9765
3,nmslib_hnsw,200,10000,150,32,0.2072136402130127,0.0,10,10,0.06020092964172363,0.9715
1,nmslib_hnsw,200,10000,300,8,0.11631941795349121,0.0,10,10,0.024898767471313477,0.7577
2,nmslib_hnsw,200,10000,300,8,0.1174919605255127,0.0,10,10,0.024383544921875,0.7626
